q_LaB6AgBehehnate_0054_270_30	r_LaB6AgBehehnate_0054_270_30	s_LaB6AgBehehnate_0054_270_30	w_LaB6AgBehehnate_0054_270_30
0.039710879	73007.867	62806.895	0.0089911046
0.041096352	64040.488	55394.797	0.008991098
0.04253016	57229.613	13933.399	0.0089910924
0.044013985	49368.969	23133.965	0.0089910869
0.04554959	42236	36448.543	0.0089910785
0.047138769	36845.477	7217.7417	0.008991071
0.048783392	32558.584	28150.41	0.0089910626
0.050485395	29647.229	25635.006	0.0089910552
0.052246783	25233.139	4112.9058	0.0089910459
0.05406962	22006.15	5359.0649	0.0089910356
0.055956054	19085.254	6132.312	0.0089910263
0.057908289	16968.924	2756.7104	0.0089910133
0.059928652	14703.398	6907.751	0.008991003
0.062019501	13329.383	1869.1597	0.00899099
0.064183302	11862.511	2315.7771	0.008990977
0.066422589	10669.131	1494.7561	0.008990963
0.06874001	9649.0566	1879.1868	0.0089909462
0.071138278	8743.2305	1062.8307	0.0089909285
0.073620223	8187.2056	1331.2301	0.0089909127
0.076188736	7256.0298	581.36041	0.0089908903
0.078846887	6836.3203	1314.4213	0.0089908699
0.081597775	6467.8193	510.85733	0.0089908522
0.084444642	6195.9995	432.05698	0.0089908252
0.087390825	6052.79	800.46912	0.0089908009
0.090439804	6406.0791	347.54935	0.0089907739
0.093595162	6750.1509	304.86325	0.0089907441
0.096860602	8691.4424	422.24127	0.0089907134
0.10023995	14252.241	2644.1528	0.0089906789
0.10373723	31925.629	4049.4946	0.0089906445
0.1073565	79690.039	6493.0815	0.0089906054
0.11110207	99146.969	4492.6343	0.0089905625
0.11497831	72584.5	3208.2219	0.0089905169
0.11898977	19496.449	1571.9561	0.008990474
0.1231412	5678.5605	247.69569	0.0089904163
0.12743747	2898.8694	80.314461	0.0089903716
0.13188364	1985.645	58.454731	0.0089903083
0.13648491	1598.0939	52.053288	0.0089902487
0.14124674	1401.6152	44.294521	0.0089901853
0.14617468	1274.6444	38.206623	0.008990109
0.15127458	1200.4613	31.382467	0.0089900317
0.15655237	1145.104	31.202671	0.0089899534
0.16201432	1093.5466	26.432888	0.0089898612
0.16766684	1065.7528	20.975088	0.0089897718
0.17351657	1031.3152	21.86867	0.0089896703
0.17957036	1008.9484	19.824783	0.0089895613
0.18583539	1001.9946	17.116976	0.0089894477
0.19231901	1021.4224	15.216412	0.0089893229
0.19902882	1110.8125	10.48246	0.0093725398
0.20597272	1780.5802	83.99704	0.0094179632
0.21315889	7592.0664	567.78223	0.0094663566
0.22059579	13064.111	281.03131	0.0095179295
0.22829217	3248.3547	171.7527	0.0095728338
0.23625702	1287.0116	4.0470619	0.0096313115
0.24449979	1046.6925	9.6246662	0.0096935341
0.25303015	966.72064	8.2546759	0.0097597335
0.26185811	920.63458	7.6178246	0.0098301452
0.27099404	906.63837	6.7313385	0.0099050049
0.28044873	896.80756	6.1327233	0.0099845696
0.29023331	904.65533	5.5413013	0.010069074
0.30035928	947.48676	4.5693407	0.01015877
0.31083846	1399.7789	46.690254	0.010254002
0.32168332	6000.1953	213.22525	0.010355007
0.33290651	4326.0483	190.18369	0.010462084
0.34452125	996.95605	8.3102837	0.010575604
0.35654128	831.13763	3.2940273	0.010695815
0.36898062	798.82373	2.7796724	0.010823085
0.38185397	783.46948	2.4545937	0.010957756
0.39517644	776.86853	2.2799306	0.011100186
0.40896377	791.99512	1.443469	0.011250693
0.42323208	1490.1154	40.064739	0.011409708
0.43799821	2204.3499	48.391979	0.011577592
0.4532795	811.15808	2.0169363	0.011754755
0.46909398	750.87372	1.0034719	0.011941538
0.48546016	734.46991	0.58878404	0.012138422
0.50239736	731.85797	0.4956207	0.012345782
0.51992548	814.47284	5.7922006	0.012564102
0.53806514	1976.8929	23.810907	0.012793762
0.55683768	878.65601	10.416365	0.013035255
0.57626516	709.9953	0.62625062	0.013289049
0.59637046	697.25909	0.8556776	0.013555546
0.61717719	699.00189	0.90203464	0.013835318
0.6387099	964.99622	8.3500786	0.014128746
0.66099381	844.89124	7.936451	0.014436463
0.68405521	670.69751	0.85622519	0.014758855
0.70792115	663.45343	0.98071808	0.015096564
0.73261982	712.49225	3.0625672	0.015450003
0.75818014	936.65332	6.2488756	0.015819805
0.78463227	647.43524	0.8440699	0.016206505
0.81200725	631.94757	0.75726658	0.016610717
0.8403374	659.36566	1.397471	0.017032901
0.86965585	699.50287	2.2029316	0.017473835
0.89999723	619.61353	0.67220563	0.017934017
0.9313972	620.53711	0.73193163	0.018414147
0.9638927	700.17297	1.6329228	0.018914841
