q_AgBehenateLaB6_0059_C	r_AgBehenateLaB6_0059_C	s_AgBehenateLaB6_0059_C	w_AgBehenateLaB6_0059_C
1.9320509	890.35022	22.37908	0.010072513
1.9345683	897.34705	10.374136	0.010071973
1.9370856	892.34814	8.1226435	0.010071433
1.939603	900.60229	6.8223619	0.010070886
1.9421203	897.09149	6.0936441	0.010070355
1.9446377	897.28479	4.8908048	0.010069747
1.947155	901.23749	4.2117958	0.010069208
1.9496723	906.72266	3.9244833	0.010068669
1.9521897	914.94495	3.7480013	0.01006807
1.9547069	924.5647	3.2242458	0.01006753
1.9572242	925.07861	3.3432136	0.010067049
1.9597416	926.09137	3.0352931	0.010066443
1.9622589	925.86133	2.4565563	0.010065844
1.9647763	920.3338	2.2267914	0.010065305
1.9672936	909.91089	2.5810089	0.010064765
1.969811	902.06763	2.3365736	0.010064166
1.9723283	888.62256	1.9688201	0.010063619
1.9748456	877.96448	2.2017186	0.010063021
1.977363	866.04309	1.8374104	0.010062473
1.9798802	852.26904	1.3024683	0.010061934
1.9823976	834.04584	1.4244871	0.010061393
1.9849149	827.00226	0.60974604	0.010060795
1.9874322	821.96307	1.1842921	0.010060255
1.9899496	812.66229	1.1093707	0.010059657
1.9924669	806.50464	1.1096536	0.010059109
1.9949843	800.76312	1.1494584	0.01005857
1.9975016	798.78851	0.92838746	0.010057911
2.0000188	801.28821	0.53915405	0.010057431
2.0025363	796.55988	0.8926512	0.010056766
2.0050535	797.35327	0.91984266	0.010056174
2.007571	796.51398	1.0455804	0.010055686
2.0100882	796.76111	1.0116605	0.010055095
2.0126057	796.49548	0.7987501	0.010054489
2.0151229	793.79626	0.5857287	0.010053882
2.0176401	795.71002	0.58815008	0.010053394
2.0201576	792.08276	0.63538003	0.010052788
2.0226748	792.33386	0.36075601	0.010052197
2.0251923	791.49353	0.35170501	0.010051724
2.0302269	792.46417	0.29189914	0.010050393
2.0327442	788.61902	0.46887824	0.010049905
2.0352616	785.90527	0.54455644	0.010049313
2.0377789	783.62219	0.22961561	0.010048707
2.0402961	780.75934	0.81326026	0.010048234
2.0428135	779.43195	1.3029103	0.010047524
